Player Name,xG Per Shot,xG,Shots,Open Play Key Passes,Assists,Throughballs,Passes into Box,Open Play Passes into Box,Touches Inside Box,Open Play Passes into and Touches Inside Box,Tackles,Interceptions,Tackles and Interceptions,PAdj Tackles,PAdj Interceptions,PAdj Tackles & Interceptions,Tackled/Dribbled Past %,Successful Dribbles,Fouls Committed,Dribbled Past,Dispossessions,Long Ball %,Long Balls,Blocks per Shot,Clearances,Aerial Win %,Aerial Wins,Open Play Passes,Forward Pass %,Backward Pass %,Sideways Pass %,Open Play Final 3rd Passes,op_f3_forward_pass_proportion,op_f3_backward_pass_proportion,op_f3_sideways_pass_proportion,shot_on_target_ratio,passing_ratio,conversion_ratio,Non-Penalty Goals,Successful Crosses,crossing_ratio,penalty_wins_90,padj_clearances_90,passes_inside_box_90,xgchain_90,op_xgchain_90,xgbuildup_90,op_xgbuildup_90,Open Play xG Assisted,op_assists_90,xgchain,op_xgchain,xgbuildup,op_xgbuildup,xgchain_per_possession,op_xgchain_per_possession,xgbuildup_per_possession,op_xgbuildup_per_possession,primary_position,secondary_position,pressured_long_balls_90,unpressured_long_balls_90,aggressive_actions_90,pressures_90,turnovers_90,pressure_regains_90,box_cross_ratio,sp_xa_90,shot_touch_ratio,Deep Progressions,fouls_won_90,shots_faced_90,goals_faced_90,np_xg_faced_90,np_psxg_faced_90,save_ratio,xs_ratio,gsaa_90,gsaa_ratio,left_foot_ratio,pressured_passing_ratio,passes_pressed_ratio,pass_length,s_pass_length,p_pass_length,ps_pass_length,ot_shots_faced_90,npot_psxg_faced_90,ot_shots_faced_ratio,np_optimal_gk_dlength,clcaa,pass_into_pressure_ratio,pass_into_danger_ratio,da_aggressive_distance,positive_outcome_score,appearances,average_minutes,positive_outcome_90,sp_assists_90,sp_key_passes_90,npxgxa_90,over_under_performance_90,shots_key_passes_90,failed_dribbles_90,total_dribbles_90,dribble_ratio,sp_passes_into_box_90,penalty_conversion_ratio,pass_length_ratio,pressured_pass_length_ratio,change_in_passing_ratio,pressured_change_in_pass_length,carries_90,carry_ratio,carry_length,dribble_faced_ratio,counterpressures_90,yellow_cards_90,second_yellow_cards_90,red_cards_90,errors_90,padj_pressures_90,defensive_action_regains_90,counterpressure_regains_90,starting_appearances,average_x_pressure,fhalf_pressures_90,fhalf_counterpressures_90,fhalf_pressures_ratio,fhalf_counterpressures_ratio,average_x_defensive_action,average_x_pass,most_recent_match,90s_played,obv_90,Pass OBV,Shot OBV,Defensive Action OBV,Dribble & Carry OBV,obv_gk_90,deep_completions_90,ball_recoveries_90,np_psxg_90,penalties_faced_90,penalties_conceded_90,fhalf_ball_recoveries_90,defensive_actions_90,statsbomb_id,Average Distance,HSR Distance,Sprinting Distance,Top 5 PSV-99,Count High Acceleration,Count of Runs in Behind,Runs in Behind Threat,runs_threat_per_match,HI Distance,age,team_name,competition_name,birth_date,Minutes
Benjamin Woodburn,0.00898759812116623,0.007657468,0.85200375,0.0,0.0,0.0,0.42600188,0.42600188,1.7040075,2.1300097,3.834017,1.7040075,5.538025,3.3654757,1.3113643,4.67684,0.75,0.42600188,1.7040075,1.2780057,1.7040075,0.3333333333333333,1.2780057,0.0,0.0,0.3333333333333333,0.42600188,25.134111,0.15384615384615385,0.2153846153846154,0.6307692307692307,10.224046,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.0,0.7846153846153846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13368836,0.1265452,0.11400673,0.11136411,0.0,0.0,0.31382105,0.29705316,0.26762024,0.26141694,0.0041842805,0.0039607086,0.0035682698,0.0034855593,Left Attacking Midfielder,Right Wing,0.85200375,2.9820132,20.022089,37.062164,1.7040075,5.9640265,0.0,0.004500544,0.00847457627118644,2.9820132,1.7040075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.15555555555555556,0.7647058823529411,0.26153846153846155,19.502595402644232,16.970679189644606,18.628616333007812,14.333353996276855,0.0,0.0,,0.0,0.0,0.15384616,0.18461539,0.0,0.33082706,13,16.251282,3.748817,0.0,0.42600188,0.012158012,-0.012158012,1.2780057,0.0,0.42600188,1.0,0.0,,0.8701754,0.76942664,-0.019909503,-0.87398,22.5781,0.8490566,4.5341067,0.4,4.2600193,0.85200375,0.0,0.0,0.0,28.961685,7.242032,0.0,0,56.74687,23.430103,2.9820132,0.6321839,0.7,56.12287,59.584557,2023-12-12T21:45,2.3474073,-0.019403543,0.016583094,-0.031342197,0.023538705,-0.028183142,,0.0,8.094036,0.0,0.0,0.0,4.686021,42.60019,4886,1880.8,112.2,44.0,30.42,3.42,0.69,0.01,0.11,156.2,24.0,Preston North End,English Championship,1999-10-15,211.0
Ciaran Clark,0.06497563421726227,0.019504609,0.30018342,0.0,0.0,0.0,0.0,0.0,1.2007337,1.2007337,1.5009172,2.4014673,3.9023845,1.1669751,1.9392238,3.1061985,0.7142857142857143,0.0,1.2007337,0.60036683,0.60036683,0.5,3.602201,0.05128205128205128,9.605869,0.7142857142857143,4.5027514,32.41981,0.34513274336283184,0.02654867256637168,0.6283185840707964,3.302018,0.7272727272727273,0.0,0.2727272727272727,1.0,0.8053097345132744,0.0,0.0,0.0,,0.0,8.482628,0.0,0.13930286,0.13930286,0.13930286,0.13930286,0.0,0.0,0.46405914,0.46405914,0.46405914,0.46405914,0.003625462,0.003625462,0.003625462,0.003625462,Left Centre Back,,10.806603,6.003669,7.204402,7.804769,0.30018342,2.4014673,,0.0,0.0,3.0018344,1.2007337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.872093023255814,0.5555555555555556,0.1592920353982301,24.6295889795354,21.915915017599588,23.545743942260742,21.378171920776367,0.0,0.0,,0.0,0.0,0.10619469,0.13274336,0.0,0.12260536,3,99.938896,1.9211739,0.0,0.0,0.019504609,-0.019504609,0.30018342,0.0,0.0,,0.0,,0.8898206,0.9079421,-0.24975418,-1.0838448,22.513758,0.96,5.528537,0.6666667,0.30018342,0.30018342,0.0,0.0,0.30018342,6.6870146,6.003669,0.30018342,3,30.834244,1.2007337,0.0,0.15384616,0.0,24.210203,34.17506,2023-12-09T17:00,3.3312964,0.21199709,0.039470505,0.026097853,0.166646,-0.020217255,,0.0,9.005503,0.026908122,0.0,0.0,3.302018,10.50642,3041,8934.5,379.5,63.0,26.65,8.0,0.0,0.0,0.0,442.5,34.0,Stoke City,English Championship,1989-09-26,300.0
Erik Pieters,0.034041738510131835,0.014626463,0.42966262,0.25779757,0.0,0.0,0.42966262,0.42966262,0.25779757,0.6874602,1.0311903,2.0623806,3.0935707,1.172399,1.8395102,3.0119095,0.6666666666666666,0.0,0.6874602,0.51559514,0.0,0.6666666666666666,2.9217057,0.05309734513274336,3.952896,0.6666666666666666,2.2342455,51.129852,0.27808988764044945,0.07303370786516854,0.648876404494382,8.765118,0.29411764705882354,0.09803921568627451,0.6078431372549019,0.2,0.8721910112359551,0.0,0.0,0.25779757,1.0,0.0,4.356167,0.0,0.45502305,0.3802192,0.43918297,0.35804218,0.008931082,0.0,5.2951202,4.424625,5.110789,4.16655,0.010047667,0.008395873,0.009697892,0.007906167,Left Centre Back,Left Back,4.468491,3.8669636,4.6403565,6.444939,0.42966262,1.4608529,0.4,0.0,0.0025188916876574307,4.898154,0.51559514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.9034907597535934,0.8131868131868132,0.12780898876404495,19.426523272910813,18.847393631743156,17.290321350097656,17.641477584838867,0.0,0.0,,0.0,0.0,0.13342696,0.1474719,0.0,0.25698325,13,80.5641,3.5576062,0.0,0.0,0.023557544,-0.023557546,0.6874602,0.08593252,0.08593252,0.0,0.0,,0.97018874,1.0203094,-0.0590042,-2.1362026,37.982174,0.98868775,4.2750363,0.5,0.9452577,0.17186505,0.0,0.0,0.0,6.1576223,3.6091661,0.17186505,12,32.499336,1.632718,0.51559514,0.25333333,0.54545456,27.266668,45.44474,2023-10-30T22:00,11.637037,0.17994918,0.1012155,-0.011510886,0.040457122,0.04978742,,0.08593252,10.91343,0.015797816,0.0,0.0,3.5232334,8.1635895,3467,8113.8,350.7,82.6,29.84,7.6,0.15,0.0,0.04,433.29999999999995,35.0,West Bromwich Albion,English Championship,1988-08-07,1047.0
Freddie Ladapo,0.15540698369344075,0.5511127,3.5462549,0.23641698,0.0,0.0,0.0,0.0,6.619675,6.619675,1.1820849,0.0,1.1820849,1.403394,0.0,1.403394,0.7142857142857143,0.47283396,0.23641698,0.47283396,1.1820849,0.5,0.23641698,0.04,0.0,0.34615384615384615,2.1277528,16.549189,0.06944444444444445,0.20833333333333334,0.7222222222222222,5.2011733,0.045454545454545456,0.3181818181818182,0.6363636363636364,0.4666666666666667,0.625,0.13333333333333333,0.47283396,0.23641698,0.25,0.0,0.0,0.23641698,0.87525433,0.87525433,0.6523859,0.6523859,0.07427754,0.0,3.7021637,3.7021637,2.7594714,2.7594714,0.03247512,0.03247512,0.02420589,0.02420589,Centre Forward,,0.23641698,0.23641698,15.367104,26.715118,3.5462549,3.7826717,,0.0,0.0784313725490196,1.1820849,1.1820849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.1794871794871795,0.6,0.3472222222222222,13.940637376573351,13.434294976128472,12.742066383361816,10.12710189819336,0.0,0.0,,0.0,0.0,0.083333336,0.22222222,0.0,0.13140605,14,27.191666,2.3641698,0.0,0.0,0.6253903,-0.15255642,3.7826717,0.23641698,0.7092509,0.6666667,0.0,,0.96367866,0.79477704,-0.025,-1.1985707,14.894269,0.7777778,3.5839803,0.33333334,4.4919224,0.0,0.0,0.0,0.0,28.458504,3.7826717,0.23641698,1,71.59549,23.405281,3.5462549,0.8761062,0.7894737,70.96917,62.48886,2023-12-12T21:45,4.2298145,0.13434759,-0.03708583,0.082966894,0.059561472,0.028905053,,0.23641698,5.2011733,0.7869052,0.0,0.0,4.2555056,28.133621,4147,2910.2,222.8,49.1,27.82,3.21,2.29,0.1,0.52,271.90000000000003,30.0,Ipswich Town,English Championship,1993-02-01,381.0
Gary Gardner,0.05535713334878286,0.07794746,1.4080834,0.93872225,0.0,0.0,0.46936113,0.46936113,0.93872225,1.4080834,0.93872225,1.8774445,2.8161669,0.37440464,1.3738976,1.7483022,1.0,0.46936113,2.3468058,0.0,0.93872225,0.8333333333333334,4.6936116,0.04,0.46936113,0.6,1.4080834,37.07953,0.2716049382716049,0.07407407407407407,0.654320987654321,7.509778,0.25,0.0625,0.6875,0.3333333333333333,0.8518518518518519,0.3333333333333333,0.46936113,0.0,,0.0,0.25705865,0.0,0.29088545,0.25958657,0.246586,0.246586,0.025270628,0.0,0.61974764,0.55306363,0.5253652,0.5253652,0.008607606,0.007681439,0.0072967387,0.0072967387,Left Centre Midfielder,Right Defensive Midfielder,1.8774445,4.2242503,8.917862,12.67275,0.46936113,2.3468058,0.0,0.0,0.013422818791946308,4.6936116,0.93872225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.08955223880597014,0.8181818181818182,0.2716049382716049,23.716739607445987,23.798587522644926,21.06733512878418,21.619741439819336,0.0,0.0,,0.0,0.0,0.086419754,0.14814815,0.0,0.35458165,8,23.96875,4.177314,0.0,0.0,0.103218086,0.36614308,2.3468058,0.0,0.46936113,1.0,0.0,,1.0034511,1.026221,-0.033670034,-2.649404,30.039112,0.953125,5.177811,1.0,1.8774445,0.46936113,0.0,0.0,0.0,5.960136,2.8161669,0.46936113,1,47.520393,5.6323338,0.93872225,0.44444445,0.5,44.778725,44.59556,2023-11-29T21:45,2.1305556,0.1482098,0.062061325,-0.037737895,0.06967381,0.054212574,,0.0,7.040417,0.27180707,0.0,0.0,3.285528,15.958279,4581,2456.2,120.9,34.0,27.64,3.25,0.0,0.0,0.05,154.9,31.0,Birmingham City,English Championship,1992-06-29,192.0
Hamza Choudhury,0.04525621607899666,0.006017668,0.13296887,0.5318755,0.0,0.0,0.39890662,0.13296887,0.0,0.13296887,2.9253154,1.8615644,4.7868795,4.4353175,2.8659608,7.3012786,0.8461538461538461,0.13296887,0.9307822,0.5318755,0.39890662,0.7333333333333333,2.9253154,0.028985507246376812,1.5956265,0.9090909090909091,1.3296888,65.420685,0.18197879858657243,0.13250883392226148,0.6855123674911661,11.169386,0.20238095238095238,0.07142857142857142,0.7261904761904762,0.0,0.9240282685512368,0.0,0.0,0.0,0.0,0.0,2.4615812,0.0,0.78398645,0.75980794,0.78398645,0.7541091,0.018251304,0.0,5.8960147,5.7141786,5.8960147,5.67132,0.017139578,0.016610984,0.017139578,0.016486395,Right Back,Left Back,1.8615644,3.7231288,7.18032,10.63751,0.26593775,3.191253,0.0,0.0,0.0009891196834817012,6.1165686,1.7285955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0700218818380744,0.8852459016393442,0.10777385159010601,17.26555253423145,16.735682062619503,16.17400360107422,15.881443977355957,0.0,0.0,,0.0,0.0,0.08303887,0.09717315,0.0,0.2859135,16,42.30313,5.4517236,0.0,0.0,0.02426897,-0.02426897,0.6648444,0.0,0.13296887,1.0,0.26593775,,0.9693105,0.9819117,-0.038782366,-1.0915493,48.533646,0.9890411,3.0185096,0.6363636,2.3934398,0.26593775,0.0,0.0,0.0,16.806835,5.0528173,0.26593775,6,40.715324,4.255004,1.4626577,0.4,0.6111111,37.00634,46.310772,2023-12-09T17:00,7.5205564,0.1357088,0.047041483,-0.007509484,0.06139854,0.034778237,,0.0,7.9781327,0.0,0.0,0.0,3.457191,14.36064,4619,3961.5,167.3,77.4,32.1,5.0,0.0,0.0,0.02,244.70000000000002,26.0,Leicester City,English Championship,1997-10-01,677.0
James Ward-Prowse,0.057593509554862976,0.19541626,3.3930256,1.6965128,0.8482564,0.0,1.6965128,1.6965128,8.482564,10.179076,0.0,0.0,0.0,0.0,0.0,0.0,,1.6965128,0.0,0.0,0.0,0.375,2.544769,0.1111111111111111,3.3930256,1.0,3.3930256,85.67389,0.125,0.16071428571428573,0.7142857142857143,38.171535,0.15555555555555556,0.2,0.6444444444444445,0.5,0.8660714285714286,0.0,0.0,0.8482564,0.2,0.0,6.4526243,0.8482564,1.1112105,0.9391769,0.73423,0.49662876,0.38739857,0.8482564,1.3099936,1.1071852,0.86557555,0.58547014,0.023392742,0.019771164,0.015456706,0.010454824,Right Centre Midfielder,,4.241282,5.9377947,6.7860513,11.027333,0.8482564,3.3930256,0.5,0.0,0.009615384615384616,9.33082,0.8482564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.09574468085106383,0.9285714285714286,0.125,16.094312395368302,14.41930019732603,14.758641242980957,15.241840362548828,0.0,0.0,,0.0,0.0,0.08035714,0.13392857,0.0,0.46124032,1,106.1,10.094251,0.0,0.0,0.5828148,0.26544157,5.089538,0.0,1.6965128,1.0,0.0,,0.8959252,1.0327401,0.0625,-1.3356715,55.13666,0.9846154,3.855651,,1.6965128,0.0,0.0,0.0,0.0,20.97103,5.089538,0.0,1,56.14519,8.482564,1.6965128,0.7692308,1.0,42.74814,61.94918,2023-08-04T22:00,1.1788889,0.07693865,-0.01231796,-0.008058345,0.030894523,0.06642043,,2.544769,4.241282,0.14443223,0.0,0.0,2.544769,11.027333,3328,12515.0,530.0,70.0,26.7,6.0,6.0,0.25,1.19,600.0,29.0,Southampton,English Championship,1994-11-01,106.0
Jonathan Hogg,0.049661049246788026,0.013326527,0.26834968,0.53669935,0.0,0.10733987,0.1610098,0.1610098,0.37568957,0.53669935,2.3614771,2.2541373,4.6156144,1.1131213,1.1606168,2.273738,0.6875,0.21467973,1.663768,1.0733987,0.48302943,0.6029411764705882,2.2004673,0.04743083003952569,2.415147,0.6938775510204082,1.8247778,33.75839,0.21428571428571427,0.08850931677018634,0.6972049689440993,6.494062,0.18181818181818182,0.06611570247933884,0.7520661157024794,0.0,0.827639751552795,0.0,0.0,0.0,,0.0,1.1241579,0.10733987,0.30650467,0.30650467,0.2965287,0.2965287,0.016908867,0.0,5.7109194,5.7109194,5.5250425,5.5250425,0.009036264,0.009036264,0.0087421555,0.0087421555,Left Defensive Midfielder,Centre Defensive Midfielder,2.8445065,3.220196,14.920242,20.823935,0.26834968,2.8445065,0.0,0.0,0.0027649769585253456,3.4885457,1.1807386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.14978902953586498,0.7472527472527473,0.14130434782608695,20.053395526009318,19.225688540689493,16.63679313659668,15.318869590759277,0.0,0.0,,0.0,0.0,0.10248447,0.1583851,0.0,0.2986276,18,93.162025,3.3865733,0.0,0.0,0.030235395,-0.030235395,0.805049,0.053669933,0.26834968,0.8,0.0,,0.95872486,0.9207826,-0.080387,-3.416603,22.756052,0.9669811,4.35436,0.525,4.4546046,0.21467973,0.0,0.0,0.0,10.012842,4.186255,0.26834968,17,43.930637,7.567461,2.6298268,0.36340207,0.5903614,40.960583,48.73408,2023-12-12T21:45,18.632406,0.1297111,0.033911508,-0.019678641,0.06910135,0.046376873,,0.10733987,12.988124,0.0,0.0,0.0,6.8697515,24.84918,3642,10732.7,570.5,102.1,28.22,14.88,0.0,0.0,0.03,672.6,35.0,Huddersfield Town,English Championship,1988-12-06,1677.0
Jordan Hugill,0.059300923347473146,0.07694387,1.2975154,0.583882,0.0,0.0,0.19462731,0.19462731,3.114037,3.3086643,0.38925463,0.12975155,0.5190062,0.15008059,0.056523103,0.20660369,0.6666666666666666,0.12975155,2.4004035,0.19462731,1.0380124,0.3333333333333333,0.19462731,0.009478672985781991,0.9082608,0.4075342465753425,7.7202168,15.764812,0.308,0.108,0.584,4.1520495,0.25,0.125,0.625,0.4,0.516,0.15,0.19462731,0.064875774,0.3333333333333333,0.0,0.29385412,0.12975155,0.24183479,0.24183479,0.19936131,0.19936131,0.09856411,0.0,3.7276597,3.7276597,3.07297,3.07297,0.0077017765,0.0077017765,0.0063491114,0.0063491114,Centre Forward,Right Centre Forward,1.2975154,0.19462731,6.098323,12.391272,3.762795,1.2326397,0.3333333333333333,0.0,0.034,1.6218942,2.011149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.16049382716049382,0.4306569343065693,0.548,14.4930361328125,13.588360926901647,14.960153579711914,13.70482349395752,0.0,0.0,,0.0,0.0,0.08,0.256,0.0,0.17470302,21,66.06032,1.6218944,0.0,0.0,0.17550798,0.019119348,1.8813975,0.38925463,0.5190062,0.25,0.0,,0.9375786,0.9160884,-0.08534306,0.46711728,10.120621,0.6602564,4.601908,0.25,1.2975154,0.19462731,0.0,0.0,0.064875774,5.518862,1.427267,0.064875774,16,68.315926,10.380123,1.1028881,0.8376963,0.85,63.92904,63.703396,2023-12-12T21:45,15.414075,-0.003922718,-0.03428957,0.0062892456,0.053415753,-0.029338151,,0.32437885,3.114037,0.09978276,0.0,0.0,2.4004035,15.18093,4882,6287.4,310.8,128.8,31.22,10.65,3.55,0.12,0.58,439.6,31.0,Rotherham United,English Championship,1992-06-04,1387.0
Callum Brittain,0.07912791402716386,0.07434341,0.93953466,0.7417379,0.09889839,0.0,1.4340266,1.4340266,2.8680532,4.3020797,1.4340266,0.84063625,2.274663,1.5886474,0.91042763,2.499075,0.6590909090909091,1.8296201,0.49449193,0.7417379,1.3351282,0.6060606060606061,2.9669516,0.03691275167785235,1.9285185,0.43478260869565216,0.98898387,49.20195,0.17150635208711434,0.14791288566243194,0.6805807622504537,15.428148,0.20192307692307693,0.14423076923076922,0.6538461538461539,0.21052631578947367,0.8166969147005445,0.05263157894736842,0.049449194,0.44504273,0.21951219512195122,0.0,2.191715,0.19779678,0.74610037,0.7254363,0.6719211,0.64575183,0.10193311,0.09889839,15.088221,14.670336,13.588111,13.058895,0.017342782,0.016862456,0.015618518,0.015010225,Right Back,Left Back,2.571358,4.2526307,5.389962,11.224967,2.6702564,1.8790693,0.3103448275862069,0.0,0.008420009905894007,5.142716,0.34614435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.03176620076238882,0.7202072538860104,0.1751361161524501,18.100057778470962,17.259922960069446,15.718254089355469,14.854646682739258,0.0,0.0,,0.0,0.0,0.12431942,0.16878402,0.0,0.41825217,21,86.669044,6.41356,0.0,0.0,0.17627653,-0.027928963,1.6812725,1.5823742,3.4119942,0.5362319,0.0,,0.95358384,0.94505703,-0.09648966,-2.3818038,46.284447,0.9220086,4.262352,0.4347826,1.8790693,0.049449194,0.0,0.0,0.0,12.963373,2.9669516,0.049449194,17,45.82132,4.944919,1.4834758,0.44052863,0.7894737,40.937813,52.785595,2023-12-12T21:45,20.222776,0.2685088,0.12284082,-0.026950097,0.09958785,0.07303021,,0.14834757,7.466828,0.05113692,0.0,0.0,3.1647484,13.153486,4202,9794.1,670.1,249.3,31.3,12.65,2.71,0.06,0.48,919.4000000000001,25.0,Blackburn Rovers,English Championship,1998-03-12,1820.0
