Player Name,player_id,Season,xG,Shots,Open Play Key Passes,Assists,Throughballs,Passes into Box,Open Play Passes into Box,Touches Inside Box,Open Play Passes into and Touches Inside Box,Tackles,Interceptions,Tackles and Interceptions,PAdj Tackles,PAdj Interceptions,PAdj Tackles & Interceptions,Tackled/Dribbled Past %,Successful Dribbles,Fouls Committed,Dribbled Past,Dispossessions,Long Ball %,Long Balls,Blocks per Shot,Clearances,Aerial Wins,Open Play Passes,Forward Pass %,Backward Pass %,Sideways Pass %,Open Play Final 3rd Passes,passing_ratio,Non-Penalty Goals,Successful Crosses,penalty_wins_90,padj_clearances_90,passes_inside_box_90,xgchain_90,op_xgchain_90,xgbuildup_90,op_xgbuildup_90,Open Play xG Assisted,op_assists_90,xgchain,op_xgchain,xgbuildup,op_xgbuildup,xgchain_per_possession,op_xgchain_per_possession,xgbuildup_per_possession,op_xgbuildup_per_possession,pressured_long_balls_90,unpressured_long_balls_90,aggressive_actions_90,Pressures,Turnovers,pressure_regains_90,sp_xa_90,shot_touch_ratio,Deep Progressions,fouls_won_90,shots_faced_90,goals_faced_90,np_xg_faced_90,np_psxg_faced_90,save_ratio,xs_ratio,gsaa_90,left_foot_ratio,passes_pressed_ratio,pass_length,s_pass_length,ot_shots_faced_90,npot_psxg_faced_90,np_optimal_gk_dlength,clcaa,pass_into_pressure_ratio,pass_into_danger_ratio,da_aggressive_distance,appearances,average_minutes,sp_assists_90,sp_key_passes_90,npxgxa_90,over_under_performance_90,shots_key_passes_90,failed_dribbles_90,total_dribbles_90,sp_passes_into_box_90,pass_length_ratio,carries_90,carry_ratio,carry_length,dribble_faced_ratio,counterpressures_90,yellow_cards_90,second_yellow_cards_90,red_cards_90,errors_90,padj_pressures_90,defensive_action_regains_90,counterpressure_regains_90,starting_appearances,average_x_pressure,fhalf_pressures_90,fhalf_counterpressures_90,fhalf_pressures_ratio,average_x_defensive_action,average_x_pass,most_recent_match,90s_played,obv_90,Pass OBV,Defensive Action OBV,Dribble & Carry OBV,deep_completions_90,ball_recoveries_90,np_psxg_90,penalties_faced_90,penalties_conceded_90,fhalf_ball_recoveries_90,defensive_actions_90,defensive_responsibility_actions_90,expected_defensive_actions,expected_defensive_actions_90,defensive_actions_above_expectation,defensive_actions_above_expectation_90,obv_conceded_responsibility_weighted_90,predicted_headers_90,xG Per Shot,Aerial Win %,op_f3_forward_pass_proportion,op_f3_backward_pass_proportion,op_f3_sideways_pass_proportion,shot_on_target_ratio,conversion_ratio,primary_position,pressured_passing_ratio,p_pass_length,ps_pass_length,positive_outcome_score,positive_outcome_90,pressured_pass_length_ratio,change_in_passing_ratio,pressured_change_in_pass_length,fhalf_counterpressures_ratio,Shot OBV,dribble_ratio,crossing_ratio,secondary_position,box_cross_ratio,gsaa_ratio,ot_shots_faced_ratio,obv_gk_90,penalty_conversion_ratio,Age,Team,League,birth_date,Player Season Minutes,position_1,Score Type
Jake O'Brien,47089,2026/2027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4637587,0.0,0.0,0.0,0.0,3.4637587,0.0,10.391276,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.0,1.6044179,0.0,0.17420618,0.17420618,0.17420618,0.17420618,0.0,0.0,0.05029397,0.05029397,0.05029397,0.05029397,0.008382329,0.008382329,0.008382329,0.008382329,3.4637587,3.4637587,0.0,3.4637587,3.4637587,3.4637587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.22249984741211,30.485000610351562,0.0,0.0,0.0,0.0,0.5,0.75,0.0,2,12.991667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.043203,6.9275174,0.5,2.66354,1.0,0.0,0.0,0.0,0.0,0.0,1.6044179,6.9275174,0.0,0,14.479167,0.0,0.0,0.0,12.918333,27.175,2026-09-19T14:00,0.2887037,-0.20231442,-0.022710541,-0.17534275,-0.0042611184,0.0,10.391276,0.0,0.0,0.0,3.4637587,3.4637587,3.4663803,10.0549232,34.8541876,-9.0549232,-31.3878073,0.1760675,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,Everton,English Premier League,2001-05-15,26.0,,
John Egan,4768,2026/2027,0.01205898,0.5719531,0.0,0.0,0.0,0.0,0.0,0.7626042,0.7626042,1.1439062,0.95325524,2.0971615,0.4659725,0.25399336,0.71996593,0.8571428571428571,0.0,0.7626042,0.19065104,0.19065104,0.5625,1.7158594,0.07575757575757576,8.007344,1.5252084,23.64073,0.2109375,0.0390625,0.75,0.95325524,0.8125,0.0,0.0,0.0,2.2400932,0.0,0.24782063,0.21160845,0.2461177,0.20990556,0.0,0.0,1.299865,1.1099255,1.2909329,1.1009935,0.007691509,0.0065676067,0.007638656,0.0065147546,8.579297,2.4784636,5.719531,8.388646,0.3813021,3.813021,0.0,0.008064516129032258,0.5719531,0.19065104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20618556701030927,0.09375,23.165157318115234,21.758465106670673,0.0,0.0,0.0,0.0,0.1171875,0.265625,0.0,5,94.41333,0.0,0.0,0.01205898,-0.01205898,0.5719531,0.0,0.0,0.0,0.9392755,13.536223,0.9577465,5.0325165,0.75,0.95325524,0.19065104,0.0,0.0,0.0,2.7768042,7.054088,0.5719531,5,32.807537,0.7626042,0.19065104,0.09090909,23.618677,34.554787,2026-09-19T14:00,5.245185,0.18745314,0.038049765,0.2051029,-0.032182444,0.0,8.769948,0.00073713425,0.0,0.0,2.2878125,10.2951565,25.3736026,118.1165735,22.5341579,14.8834262,2.8394447,0.2592457,1.537564,0.021083859105904896,0.6153846,0.4,0.0,0.6,0.3333333333333333,0.0,Centre Back,0.5,23.054166793823242,24.18666648864746,0.123411976,1.2964271,1.0491234,-0.3125,-0.11099116,0.2,-0.02351714,,,,,,,,,34.0,Hull City,English Premier League,1992-10-20,472.0,Centre Back,Centre Back
Kasey Ian McAteer,80942,2026/2027,0.06883679,1.4606439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4606439,0.0,1.4606439,0.6881993,0.0,0.6881993,0.3333333333333333,0.0,2.9212878,2.9212878,0.0,,0.0,0.0,1.4606439,1.4606439,17.527727,0.08333333333333333,0.16666666666666666,0.75,2.9212878,0.75,0.0,0.0,0.0,0.6881993,0.0,0.19436508,0.19436508,0.12552828,0.12552828,0.0,0.0,0.13306808,0.13306808,0.085940376,0.085940376,0.008316755,0.008316755,0.0053712735,0.0053712735,1.4606439,0.0,14.606439,17.527727,1.4606439,5.8425756,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.16666666666666666,14.464167277018229,15.97666761610243,0.0,0.0,0.0,0.0,0.16666667,0.33333334,0.0,3,20.538889,0.0,0.0,0.06883679,-0.06883679,1.4606439,1.4606439,1.4606439,0.0,1.1045688,14.606439,0.9,4.3865967,0.5,2.9212878,0.0,0.0,0.0,0.0,9.4722805,10.224506,0.0,0,48.678005,7.3032193,1.4606439,0.41666666,45.029335,47.717064,2026-09-04T19:00,0.6846296,-0.0449901,-0.08136395,0.022864992,-0.036808234,0.0,2.9212878,0.14730535,0.0,0.0,0.0,21.909657,25.1448775,17.6263007,26.0712454,-0.6263008,-0.9263681,0.0459768,0.656725,0.04712770879268646,1.0,0.0,0.5,0.5,1.0,0.0,Right Wing,1.0,17.239999771118164,17.239999771118164,0.25316456,2.9212878,1.0,0.25,2.7758324,0.5,0.050317094,0.0,,,,,,,,25.0,Ipswich Town,English Premier League,2001-11-22,61.0,Right Winger,Winger
Dara Joseph O'Shea,18753,2026/2027,0.0036967853,0.1820818,0.7283272,0.0,0.0,0.7283272,0.5462454,1.4566544,2.0029,1.0924908,0.7283272,1.8208181,0.7520695,0.6582317,1.4103011,0.6666666666666666,0.3641636,0.7283272,0.5462454,0.0,0.5666666666666667,3.0953906,0.047058823529411764,4.0058,3.0953906,39.693832,0.3707865168539326,0.07865168539325842,0.550561797752809,4.552045,0.7340823970037453,0.0,0.7283272,0.0,3.111463,0.1820818,0.34738672,0.34738672,0.31870505,0.31870505,0.03898041,0.0,1.9078608,1.9078608,1.75034,1.75034,0.007281911,0.007281911,0.006680687,0.006680687,4.9162087,4.552045,5.644536,8.9220085,0.3641636,2.7312272,0.0,0.0,3.4595544,0.5462454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08450704225352113,0.17228464419475656,20.322583830758425,19.898113639987244,0.0,0.0,0.0,0.0,0.13483146,0.3220974,0.0,5,98.85667,0.0,0.0,0.042677198,-0.042677198,0.91040903,0.1820818,0.5462454,0.1820818,0.9791134,27.858517,0.99346405,3.509636,0.0,2.0029,0.0,0.0,0.0,0.0,6.865541,4.369963,0.3641636,5,41.401447,3.4595544,1.2745726,0.3877551,33.279873,43.748356,2026-09-19T14:00,5.492037,0.21675402,0.08265029,0.12538111,0.024897674,0.1820818,12.19948,0.0,0.0,0.0,2.9133089,10.742826,24.5772651,136.5303864,24.8558778,-1.5303865,-0.2786127,0.2031682,2.8146976,0.02030288241803646,0.7391304,0.44,0.08,0.48,0.0,0.0,Right Back,0.5869565217391305,17.08587074279785,19.229629516601562,0.29680365,3.5505953,1.1254697,-0.14712587,-3.236714,0.6363636,-0.016175052,0.6666667,0.8,Left Centre Back,0.75,,,,,28.0,Ipswich Town,English Premier League,1999-03-04,494.0,Right Back,Right Back
Caoimhín Odhrán Kelleher,34959,2026/2027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.3894736842105263,6.717999,0.0,0.0,0.0,25.601023,0.4708994708994709,0.010582010582010581,0.5185185185185185,0.36313507,0.6772486772486772,0.0,0.0,0.0,0.0,0.0,0.2694318,0.2611012,0.2694318,0.2611012,0.0,0.0,1.4839206,1.4380391,1.4839206,1.4380391,0.008290059,0.008033738,0.008290059,0.008033738,5.810161,11.438754,0.0,0.0,0.0,0.0,0.0,0.0,1.4525403,0.0,12.165025,0.5447026,1.0528456,0.94244,0.85,0.7404712200164795,0.39773738,0.11818181818181818,0.2857142857142857,41.139578683035715,29.823593139648438,3.6313505,0.94244,1.6448443,-0.03414732,0.07936508,0.34920636,24.310219,5,99.13667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7249368,23.966913,1.0,4.758777,,0.0,0.0,0.0,0.0,0.0,0.0,7.625836,0.0,5,,0.0,0.0,,2.5791667,12.723071,2026-09-18T19:00,5.5075927,0.3597919,0.10930087,,0.037699968,0.0,2.9050806,0.0,0.18156753,0.18156753,0.0,0.0,2.5415435,19.6911478,3.5747077,-5.6911478,-1.0331643,0.0267089,0.0,,,1.0,0.0,0.0,,,Goalkeeper,0.6666666666666666,43.32851791381836,32.837501525878906,0.07339449,1.3072861,0.7578727,-0.01058201,2.1889396,,,,,,,0.10952877998352051,0.29850746268656714,0.212791,,28.0,Brentford,English Premier League,1998-11-23,496.0,Goalkeeper,Goalkeeper
Nathan Michael Collins,24824,2026/2027,0.28413785,2.594283,0.86476105,0.0,0.0,0.0,0.0,7.7828493,7.7828493,1.2971416,0.43238053,1.7295221,1.2698383,0.49671015,1.7665486,1.0,0.0,0.86476105,0.0,0.0,0.625,4.323805,0.08695652173913043,3.8914247,2.1619024,48.42662,0.2689075630252101,0.06722689075630252,0.6638655462184874,5.188566,0.8319327731092437,0.0,0.86476105,0.0,4.2500997,0.86476105,0.9920835,0.9920835,0.56872886,0.56872886,0.04946717,0.0,2.2944686,2.2944686,1.3153434,1.3153434,0.02440924,0.02440924,0.013993015,0.013993015,4.323805,6.4857073,4.323805,7.3504686,0.0,5.6209464,0.0,0.004672897196261682,2.594283,1.2971416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0851063829787234,0.07563025210084033,22.903193113182773,21.86302724510732,0.0,0.0,0.0,0.0,0.042016808,0.15966387,0.0,3,69.38333,0.0,0.0,0.333605,-0.333605,3.4590442,0.0,0.0,0.0,0.95458424,35.4552,1.0,5.315639,1.0,1.7295221,0.43238053,0.0,0.0,0.0,7.37379,7.7828493,1.2971416,3,38.124573,3.0266638,1.7295221,0.4117647,31.71766,33.861168,2026-09-05T14:00,2.3127778,-0.09116338,0.04401283,-0.00858506,0.019486176,1.2971416,9.512371,0.052419536,0.0,0.0,3.4590442,9.079991,18.5602772,46.1449179,19.9177318,-3.1449182,-1.3574547,0.0393648,2.1446616,0.10952460765838623,0.625,0.3333333333333333,0.0,0.6666666666666666,0.16666666666666666,0.0,Left Centre Back,0.7777777777777778,16.42222023010254,9.54285717010498,0.13416538,3.7184725,0.5810942,-0.054154996,-6.4809723,1.0,-0.14607732,,1.0,,,,,,,25.0,Brentford,English Premier League,2001-04-30,209.0,Centre Back,Centre Back
Brenden Aaronson,24243,2026/2027,0.011334825,0.41980875,0.0,0.0,0.0,0.0,0.0,0.8396175,0.8396175,2.5188527,0.41980875,2.9386613,2.0019143,0.4278369,2.4297512,0.5454545454545454,0.41980875,0.41980875,2.0990438,3.35847,1.0,0.41980875,0.024390243902439025,0.41980875,1.2594264,15.952733,0.23076923076923078,0.1282051282051282,0.6410256410256411,5.0377054,0.7435897435897436,0.0,0.0,0.0,0.3573495,0.0,0.13749406,0.13749406,0.12615924,0.12615924,0.0,0.0,0.32751593,0.32751593,0.30051595,0.30051595,0.0050387066,0.0050387066,0.0046233223,0.0046233223,0.41980875,0.41980875,16.79235,32.325275,3.35847,9.235792,0.0,0.011235955056179775,3.35847,2.5188527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14814814814814814,0.28205128205128205,16.238461225460735,16.847929855872845,0.0,0.0,0.0,0.0,0.025641026,0.17948718,0.0,5,42.876667,0.0,0.0,0.011334825,-0.011334825,0.41980875,0.8396175,1.2594264,0.0,1.0375324,20.57063,0.71428573,7.479918,0.0,7.556558,0.0,0.0,0.0,0.0,24.526834,10.915028,2.5188527,2,53.081615,18.051777,7.556558,0.5584416,52.735283,55.45823,2026-09-20T13:00,2.382037,0.055536352,0.023394775,0.030954238,0.007798718,0.0,6.2971315,0.014141895,0.0,0.0,1.679235,35.263935,37.0376808,59.2421612,24.9340029,28.757839,12.103678,0.0542075,0.9789312,0.026999972760677338,0.375,0.25,0.08333333333333333,0.6666666666666666,1.0,0.0,Left Wing,0.5454545454545454,12.263635635375977,13.080000877380371,0.11707318,1.0075411,1.066568,-0.1981352,-3.9748254,1.0,-0.0066113765,0.33333334,,Right Attacking Midfielder,,,,,,26.0,Leeds United,English Premier League,2000-10-22,214.0,Left Winger,Winger
Antonee Robinson,4614,2026/2027,0.056346193,0.79878706,1.797271,0.0,0.0,2.1966646,1.9969678,2.5960581,4.5930257,2.9954517,0.9984839,3.9939356,3.63163,0.8255024,4.457132,0.6818181818181818,0.59909034,0.79878706,1.3978775,0.59909034,0.5588235294117647,3.7942388,0.036585365853658534,2.3963614,0.79878706,46.529346,0.2210144927536232,0.14130434782608695,0.6376811594202898,16.175438,0.7971014492753623,0.0,1.3978775,0.0,2.7139406,0.59909034,0.7641783,0.6743649,0.63159394,0.52115923,0.1604643,0.0,3.826693,3.3769445,3.1627648,2.609753,0.015747707,0.013896891,0.013015493,0.010739724,3.1951482,5.9909034,9.9848385,12.780593,0.79878706,5.1921163,0.0,0.008733624454148471,3.594542,0.79878706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7976878612716763,0.14855072463768115,20.180543761322465,19.321044921875,0.0,0.0,0.0,0.0,0.09057971,0.2536232,0.0,5,90.13666,0.0,0.0,0.21681048,-0.21681048,2.5960581,0.39939353,0.9984839,0.19969676,0.9574095,37.343296,0.96256685,4.0330834,0.46153846,2.9954517,0.0,0.0,0.0,0.0,14.855641,7.987871,0.79878706,5,38.83654,3.9939356,1.797271,0.3125,33.086346,54.4294,2026-09-20T15:30,5.007592,0.29966497,0.21635166,0.06703424,0.054817803,0.39939353,9.385749,0.0,0.0,0.0,3.394845,16.574833,24.5314011,112.4253673,22.4223722,10.5746323,2.1090288,0.1043918,1.2322143,0.0705396831035614,0.4,0.13580246913580246,0.16049382716049382,0.7037037037037037,0.0,0.0,Left Back,0.7804878048780488,19.102439880371094,19.427499771118164,0.42762282,6.430236,1.0170166,-0.016613644,-1.0781045,0.6,-0.03853874,0.6,0.3888888888888889,,0.45454545454545453,,,,,29.0,Fulham,English Premier League,1997-08-08,451.0,Left Back,Left Back
Zavier Gozo,136534,2026/2027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3316061,0.0,2.3316061,0.46881184,0.0,0.46881184,0.5,0.0,4.6632123,2.3316061,6.9948187,0.0,0.0,0.0,0.0,0.0,13.989637,0.14285714285714285,0.42857142857142855,0.42857142857142855,2.3316061,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.34545055,0.34545055,0.34545055,0.34545055,0.0,0.0,0.1481599,0.1481599,0.1481599,0.1481599,0.009259994,0.009259994,0.009259994,0.009259994,0.0,2.3316061,46.632126,76.94301,9.326425,13.989637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.14285714285714285,17.2528566632952,14.516000366210937,0.0,0.0,0.0,0.0,0.14285715,0.2857143,0.0,2,19.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84136796,18.65285,0.375,2.8475435,0.0,20.984457,0.0,0.0,0.0,0.0,30.954039,16.321245,9.326425,0,49.83564,44.30052,13.989637,0.57575756,49.610348,53.33143,2026-09-12T14:00,0.42888886,-0.15928258,-0.062024668,0.017260918,-0.11451884,0.0,6.9948187,0.0,0.0,0.0,6.9948187,83.93783,76.9292867,15.7070386,36.6160992,17.2929617,40.3131881,0.0308281,0.4963105,,0.0,0.0,1.0,0.0,,,Left Attacking Midfielder,1.0,12.989999771118164,12.989999771118164,1.0,2.3316061,1.0,0.2857143,-4.262857,0.6666667,,,0.0,,,,,,,20.0,Crystal Palace,English Premier League,2007-03-22,39.0,Attacking Midfield,Attacking Midfield
Christopher Jeffrey Richards,41266,2026/2027,0.023059292,0.3663128,0.0,0.0,0.0,0.54946923,0.1831564,0.3663128,0.54946923,1.6484076,0.7326256,2.3810332,1.2424389,0.6418414,1.8842803,0.75,0.3663128,0.3663128,0.54946923,0.3663128,0.5333333333333333,2.9305024,0.08333333333333333,3.2968152,0.7326256,39.01231,0.21120689655172414,0.008620689655172414,0.7801724137931034,3.6631281,0.8491379310344828,0.0,0.3663128,0.0,3.483031,0.0,0.3367945,0.30768874,0.3137352,0.2846295,0.0,0.0,1.8388355,1.6799235,1.712936,1.5540242,0.0083205225,0.007601464,0.007750842,0.007031784,3.8462844,4.945223,8.974664,13.004105,0.3663128,4.57891,0.0,0.0,1.8315641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.12931034482758622,22.034526956492456,20.227107788705585,0.0,0.0,0.0,0.0,0.08189655,0.2112069,0.0,5,98.276665,0.0,0.0,0.023059292,-0.023059292,0.3663128,0.1831564,0.54946923,0.3663128,0.91797334,30.95343,0.97633135,3.2841465,0.5,1.6484076,0.1831564,0.0,0.0,0.0,8.917607,6.2273173,1.0989385,5,31.85285,3.4799714,0.7326256,0.26760563,27.082384,35.71664,2026-09-20T13:00,5.459815,0.26261082,0.07686314,0.12622179,0.019979937,0.0,9.15782,0.085664354,0.0,0.0,1.0989385,15.018825,26.5527167,132.0460902,24.1805685,12.9539097,2.3721482,0.2238127,1.4034301,0.06294973194599152,0.3333333,0.4,0.0,0.6,1.0,0.0,Right Centre Back,0.7333333333333333,23.35500144958496,20.197729110717773,0.338488,3.608181,0.86481386,-0.1158046,1.3204739,0.44444445,0.039545935,0.6666667,0.25,Centre Back,0.6666666666666666,,,,,26.0,Crystal Palace,English Premier League,2000-03-28,491.0,Centre Back,Centre Back
