Player Name,Age,Team,League,Position,Score Type,Stoke Score,Average Distance (6),Top 5 PSV-99 (6),OBV Defensive Action (6),OBV Pass (6),Deep Progressions (6),Dribbles (6),OBV Dribble & Carry (6),Tackle/Dribbled Past % (6),PAdj Tackles (6),PAdj Interceptions (6)
Ben Sheaf,25,Coventry City,Championship,Left Defensive Midfielder,Defensive Midfield,66.27,78,13,0.059731707,86,8.019242,97,97,87,100,65
Massimo Luongo,31,Ipswich Town,Championship,Left Defensive Midfielder,Defensive Midfield,57.64,28,4,0.073946714,40,6.330964,46,96,89,89,62
Ethan Ampadu,23,Leeds United,Championship,Left Defensive Midfielder,Defensive Midfield,55.3,36,50,0.076292194,38,5.9512243,18,90,96,92,79
Sam Morsy,32,Ipswich Town,Championship,Right Defensive Midfielder,Defensive Midfield,54.28,10,19,0.03946262,35,6.1666737,21,93,61,82,85
Kenneth McLean,31,Norwich City,Championship,Left Defensive Midfielder,Defensive Midfield,53.96,26,97,0.042804424,64,5.2355285,54,62,68,69,89
Casper De Norre,26,Millwall,Championship,Left Defensive Midfielder,Defensive Midfield,53.28,71,53,0.035704795,56,5.3709607,26,79,53,44,31
Josh Laurent,28,Stoke City,Championship,Right Centre Midfielder,Defensive Midfield,52.75,33,82,0.023046972,61,4.723122,72,44,85,93,76
Alex Mowatt,28,West Bromwich Albion,Championship,Left Defensive Midfielder,Defensive Midfield,51.6,89,24,0.08557649,74,5.5766735,6,99,87,79,51
Jean Michaël Seri,32,Hull City,Championship,Left Defensive Midfielder,Defensive Midfield,50.95,8,90,0.058399208,71,4.5453405,42,68,90,62,74
Matt Grimes,28,Swansea City,Championship,Left Defensive Midfielder,Defensive Midfield,50.77,65,49,0.020442037,82,5.9884615,47,86,64,28,24
Adam Wharton,19,Blackburn Rovers,Championship,Left Defensive Midfielder,Defensive Midfield,50.11,32,78,0.11333207,90,4.172262,58,81,11,85,94
Liam Kelly,33,Coventry City,Championship,Left Defensive Midfielder,Defensive Midfield,49.76,85,8,0.06372752,57,4.77893,28,85,66,96,64
William Anthony Patrick Smallbone,23,Southampton,Championship,Right Centre Midfielder,Defensive Midfield,48.18,100,55,0.068732314,99,7.462639,6,74,26,75,90
Hayden Hackney,21,Middlesbrough,Championship,Left Defensive Midfielder,Defensive Midfield,47.39,82,55,0.0165461,39,8.78196,86,92,49,68,15
Josh Eccles,23,Coventry City,Championship,Right Defensive Midfielder,Defensive Midfield,47.03,44,47,0.009708495,93,5.5374227,40,53,18,86,49
Gabriel Davi Gomes Sara,24,Norwich City,Championship,Right Defensive Midfielder,Defensive Midfield,45.72,96,46,0.06344577,100,6.7685637,62,51,38,81,26
Jonathan Hogg,34,Huddersfield Town,Championship,Left Defensive Midfielder,Defensive Midfield,45.61,57,44,0.04952971,53,3.4711277,12,25,29,39,81
Wouter Burger,22,Stoke City,Championship,Right Defensive Midfielder,Defensive Midfield,45.47,90,29,-0.03625249,26,3.6342793,6,26,66,97,54
Jordan Thompson,26,Stoke City,Championship,Centre Defensive Midfielder,Defensive Midfield,45.25,3,89,0.0522737,67,4.204348,6,47,97,83,32
Alistair McCann,23,Preston North End,Championship,Right Defensive Midfielder,Defensive Midfield,45.18,49,38,0.0023911728,28,2.7010128,19,60,72,88,56
George Saville,30,Millwall,Championship,Left Defensive Midfielder,Defensive Midfield,44.55,31,21,0.020155245,81,2.4148107,76,29,79,56,25
George Byers,27,Sheffield Wednesday,Championship,Right Defensive Midfielder,Defensive Midfield,44.19,69,1,0.053872015,88,2.567017,32,3,28,65,88
Joe Ralls,30,Cardiff City,Championship,Left Centre Midfielder,Defensive Midfield,43.38,67,94,0.050175644,85,3.1663508,14,33,83,53,17
Edo Kayembe,25,Watford,Championship,Right Centre Midfielder,Defensive Midfield,42.94,42,69,0.028190127,49,4.6443477,99,75,78,58,99
Christ Joël Junior Tiéhi,25,Rotherham United,Championship,Left Defensive Midfielder,Defensive Midfield,42.61,24,61,0.12676373,25,3.38335,24,82,70,22,38
Flynn Downes,24,Southampton,Championship,Centre Defensive Midfielder,Defensive Midfield,42.41,99,79,0.045562856,31,5.6757207,60,38,100,94,100
Sondre Tronstad,28,Blackburn Rovers,Championship,Centre Defensive Midfielder,Defensive Midfield,41.47,79,10,0.03421319,65,5.769032,69,43,36,99,57
Barry Bannan,33,Sheffield Wednesday,Championship,Left Defensive Midfielder,Defensive Midfield,40.39,25,72,0.06181131,83,6.0229445,71,32,57,29,11
Pierre Ekwah Elimby,21,Sunderland,Championship,Left Defensive Midfielder,Defensive Midfield,40.06,15,33,0.05659135,79,7.3295326,64,71,10,78,33
Taylor Gardner-Hickman,21,Bristol City,Championship,Right Back,Defensive Midfield,39.69,83,26,0.022089502,92,4.7120423,79,100,6,50,35
Krystian Bielik,25,Birmingham City,Championship,Right Defensive Midfielder,Defensive Midfield,39.33,47,13,-0.00046758348,22,3.4744213,67,50,33,14,68
Ben Pearson,28,Stoke City,Championship,Centre Defensive Midfielder,Defensive Midfield,39.17,4,96,-0.024126347,50,4.1129146,39,39,8,35,92
Jack Rudoni,22,Huddersfield Town,Championship,Left Defensive Midfielder,Defensive Midfield,38.83,81,76,0.016245466,76,3.9908202,93,69,25,24,10
Ivan Šunjić,27,Birmingham City,Championship,Left Defensive Midfielder,Defensive Midfield,37.83,43,84,0.07729556,69,2.5512316,49,15,49,26,71
Archie Gray,17,Leeds United,Championship,Right Defensive Midfielder,Defensive Midfield,37.52,38,100,0.015079514,36,3.1210637,75,7,92,90,69
Jonathan Howson,35,Middlesbrough,Championship,Right Defensive Midfielder,Defensive Midfield,35.36,19,60,0.02755038,89,6.7661095,65,72,44,42,3
Oliver Rathbone,26,Rotherham United,Championship,Right Defensive Midfielder,Defensive Midfield,35.14,18,57,0.0560375,54,3.6920848,92,78,12,7,12
