,Player Name,Age,Team,League,Season,Position,player_id,Score Type,Stoke Score,xG (ST),Non-Penalty Goals (ST),Shots (ST),OBV Shot (ST),Open Play xA (ST),OBV Dribble & Carry (ST),PAdj Pressures (ST),Aerial Wins (ST),Aerial Win % (ST),Average Distance Percentile,Top 5 PSV-99 Percentile,L/R Footedness %,Player Season Minutes,Touches in Box (ST),Running Distance Percentile,Sprinting Distance Percentile,Count HSR Percentile,Count Sprint Percentile,Count Medium Acceleration Percentile,Count High Acceleration Percentile,xG (W),Non-Penalty Goals (W),Shots (W),Open Play xA (W),OBV Pass (W),Successful Dribbles (W),OBV Dribble & Carry (W),player_season_padj_pressures_90 Percentile,Distance (W),Top 5 PSV (W),xG (CAM),Non-Penalty Goals (CAM),Shots (CAM),OBV Pass (CAM),Open Play xA (CAM),Key Passes (CAM),Throughballs (CAM),Successful Dribbles (CAM),OBV Dribble & Carry (CAM),Average Distance (CAM),Top 5 PSV (CAM),xG (8),Non-Penalty Goals (8),OBV Pass (8),Open Play xA (8),Successful Dribbles (8),OBV Dribble & Carry (8),Average Distance (8),Top 5 PSV-99 (8),PAdj Tackles & Interceptions (8),Deep Progressions (8),Average Distance (6),Top 5 PSV-99 (6),OBV Defensive Action (6),OBV Pass (6),Deep Progressions (6),Successful Dribbles (6),OBV Dribble & Carry (6),Tackle/Dribbled Past % (6),PAdj Tackles (6),PAdj Interceptions (6),PAdj Tackles & Interceptions (6),Pass Forward % (6),Turnovers (6),PAdj Pressures (6),Pressure Regains (6),Ball Recoveries (6),Average Distance (LB),Top 5 PSV-99 (LB),PAdj Tackles (LB),PAdj Interceptions (LB),OBV Defensive Action (LB),OBV Dribble & Carry (LB),Tackle/Dribbled Past (LB),Open Play xA (LB),Successful Crosses (LB),Dribbled Past (LB),Successful Dribbles (LB),Key Passes (LB),OBV Pass (LB),PAdj Tackles & Interceptions (LB),Aerial Win % (LB),Average Distance (RB),Top 5 PSV-99 (RB),PAdj Tackles (RB),PAdj Interceptions (RB),OBV Defensive Action (RB),OBV Dribble & Carry (RB),Tackle/Dribbled Past (RB),Open Play xA (RB),Successful Crosses (RB),Dribbled Past (RB),Successful Dribbles (RB),Key Passes (RB),OBV Pass (RB),PAdj Tackles & Interceptions (RB),Aerial Win % (RB),Average Distance (CB),Top 5 PSV-99 (CB),Aerial Win % (CB),Aerial Wins (CB),PAdj Interceptions (CB),PAdj Tackles (CB),OBV Pass (CB),OBV Dribble & Carry (CB),OBV Defensive Action (CB),Dribbled Past (CB),Deep Progressions (CB),PAdj Tackles & Interceptions (CB),Tackle / Dribbled Past % (CB),Blocks per Shot (CB),Pressure Change in Passing % (CB),xG (S9),Non-Penalty Goals (S9),Shots (S9),OBV Shot (S9),Open Play xA (S9),OBV Dribble & Carry (S9),PAdj Pressures (S9),Aerial Wins (S9),Aerial Win % (S9),Average Distance (S9),Top 5 PSV-99 (S9),Runs in Behind (S9),Threat of Runs in Behind (S9),xG (DW),Non-Penalty Goals (DW),Shots (DW),Open Play xA (DW),OBV Pass (DW),Successful Dribbles (DW),OBV Dribble & Carry (DW),Average Distance (DW),Top 5 PSV (DW),xG (CW),Non-Penalty Goals (CW),Shots (CW),Open Play xA (CW),OBV Pass (CW),Successful Dribbles (CW),OBV Dribble & Carry (CW),Average Distance (CW),Top 5 PSV (CW),xG (WF),Non-Penalty Goals (WF),Shots (WF),Open Play xA (WF),OBV Pass (WF),Successful Dribbles (WF),OBV Dribble & Carry (WF),Average Distance (WF),Top 5 PSV (WF),xG (C10),Non-Penalty Goals (C10),Shots (C10),OBV Pass (C10),Open Play xA (C10),Key Passes (C10),Successful Dribbles (C10),OBV Dribble & Carry (C10),Average Distance (C10),Top 5 PSV (C10),xG (R10),Non-Penalty Goals (R10),Shots (R10),Open Play xA (R10),OBV Pass (R10),Successful Dribbles (R10),OBV Dribble & Carry (R10),PAdj Pressures (R10),Pressure Regains (R10),HI Distance (R10),Average Distance (R10),Top 5 PSV (R10),PAdj Pressures (P8),Average Distance (P8),xG (P8),OBV Pass (P8),Successful Dribbles (P8),Open Play xA (P8),Top 5 PSV (P8),OBV Dribble & Carry (P8),Deep Progressions (P8),Average Distance (R8),xG (R8),OBV Pass (R8),Non-Penalty Goals (R8),Open Play xA (R8),Top 5 PSV (R8),OBV Dribble & Carry (R8),Deep Progressions (R8),PAdj Pressures (R8),Pressure Regains (R8),Average Distance (P6),Top 5 PSV-99 (P6),OBV Defensive Action (P6),Deep Progressions (P6),OBV Dribble & Carry (P6),PAdj Tackles & Interceptions (P6),OBV Pass (P6),Forward Pass % (P6),Average Distance (D6),Top 5 PSV-99 (D6),PAdj Pressures (D6),OBV Defensive Action (D6),Passing % (D6),Tackle / Dribbled Past % (D6),PAdj Tackles & Interceptions (D6),Ball Recoveries (D6),Open Play xA (DLB),PAdj Tackles (DLB),PAdj Interceptions (DLB),OBV Dribble & Carry (DLB),OBV Defensive Action (DLB),Tackle / Dribbled Past % (DLB),Average Distance (DLB),PAdj Pressures (DLB),Dribbled Past (DLB),Top 5 PSV-99 (DLB),Aerial Win % (DLB),Open Play xA (DRB),PAdj Tackles (DRB),PAdj Interceptions (DRB),OBV Dribble & Carry (DRB),OBV Defensive Action (DRB),Tackle / Dribbled Past % (DRB),Average Distance (DRB),PAdj Pressures (DRB),Dribbled Past (DRB),Top 5 PSV-99 (DRB),Aerial Win % (DRB),Average Distance (BCB),Top 5 PSV-99 (BCB),Aerial Wins (BCB),PAdj Interceptions (BCB),PAdj Tackles (BCB),OBV Pass (BCB),OBV Dribble & Carry (BCB),OBV Defensive Action (BCB),player_season_xgbuildup_90 Percentile,Deep Progressions (BCB),Pressured Change in Passing % (BCB),Average Distance (DCB),Top 5 PSV-99 (DCB),Aerial Wins (DCB),Aerial Win % (DCB),OBV Defensive Action (DCB),Tackle / Dribbled Past % (DCB),Blocks Per Shot (DCB),Market value,Market value (millions),player_name,name_in_home_country,place_of_birth,height,citizenship,position,foot,player_agent,current_club,joined,Contract expires,instagram,player_valuation,max_player_valuation,max_player_valuation_date,URL,date_of_birth,last_contract_extension,twitter,contract_option,na,full_name,outfitter,on_loan_from,contract_there_expires,website,x2nd_club,facebook
0,Cheikh Tidiane Sabaly,25,Metz,Ligue 2,2024/2025,Left Centre Forward,34884,Striker,75.85,99.0,99.0,91.0,99.0,63.0,96.0,89.0,32.0,34.0,81.0,54.0,21.47,700.0,89.0,69.0,60.0,53.0,77.0,46.0,81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
1,Eli Junior Kroupi,18,Lorient,Ligue 2,2024/2025,Left Centre Forward,391397,Striker,64.24,74.0,94.0,86.0,99.0,76.0,78.0,69.0,19.0,90.0,72.0,20.0,3.6,513.0,81.0,81.0,42.0,72.0,35.0,52.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Malick Junior Yalcouyé,,Djidji,1.69,Cote d'Ivoire Mali,Midfield - Central Midfield,right,Unique Sports Group,IFK Göteborg,2024-02-01,2028,,,,,https://www.transfermarkt.com/malick-junior-yalcouye/profil/spieler/1178758,2005-11-18,,,,,,,,,,,
5,Pape Meïssa Ba,27,Grenoble Foot,Ligue 2,2024/2025,Centre Forward,32925,Striker,64.03,81.0,98.0,70.0,98.0,68.0,15.0,34.0,18.0,44.0,27.0,30.0,19.05,674.0,57.0,51.0,28.0,32.0,51.0,5.0,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000.0,0.1,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
6,Jacques Siwe,23,Guingamp,Ligue 2,2024/2025,Right Centre Forward,107532,Striker,63.13,65.0,88.0,78.0,91.0,46.0,58.0,68.0,63.0,80.0,61.0,22.0,60.95,682.0,89.0,69.0,42.0,67.0,50.0,14.0,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000.0,1.0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
7,Timothée NKada,25,Rodez,Ligue 2,2024/2025,Left Centre Forward,31309,Striker,55.13,88.0,82.0,69.0,31.0,82.0,28.0,14.0,20.0,25.0,46.0,82.0,17.95,605.0,80.0,43.0,80.0,36.0,81.0,4.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
8,Khalid Boutaïb,37,Pau,Ligue 2,2024/2025,Centre Forward,5726,Striker,54.61,79.0,91.0,78.0,49.0,34.0,30.0,60.0,95.0,94.0,39.0,1.0,35.53,457.0,90.0,56.0,3.0,7.0,3.0,9.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
9,Mohamed Bamba,22,Lorient,Ligue 2,2024/2025,Right Centre Forward,405154,Striker,52.03,66.0,97.0,43.0,80.0,88.0,99.0,55.0,28.0,69.0,35.0,30.0,15.62,233.0,46.0,53.0,84.0,49.0,74.0,14.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohamed Bawa,,,,Sweden,Midfield,,,GAIS,2024-02-01,0,,,,,https://www.transfermarkt.com/mohamed-bawa/profil/spieler/1220226,2004-07-20,,,,,,,,,,,
10,Jean-Philippe Krasso,27,Paris FC,Ligue 2,2024/2025,Left Centre Forward,43072,Striker,51.92,40.0,73.0,12.0,96.0,95.0,39.0,71.0,38.0,44.0,47.0,18.0,78.43,496.0,57.0,43.0,23.0,9.0,16.0,5.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
11,Yacine Bammou,33,Dunkerque,Ligue 2,2024/2025,Centre Forward,3319,Striker,50.56,36.0,77.0,65.0,94.0,58.0,13.0,84.0,87.0,78.0,31.0,34.0,23.88,446.0,49.0,22.0,37.0,39.0,32.0,23.0,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
12,Aliou Badji,26,Red Star FC,Ligue 2,2024/2025,Centre Forward,23619,Striker,50.46,98.0,97.0,79.0,43.0,40.0,64.0,41.0,83.0,52.0,12.0,42.0,0.0,226.0,77.0,13.0,30.0,29.0,41.0,7.0,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,André Al-Sanati,André Alan Al-Sanati,,1.65,Iraq Sweden,Attack - Right Winger,left,Henok Berhane,IK Sirius,2023-02-01,2027,http://www.instagram.com/andrealsanati/?hl=en,,,,https://www.transfermarkt.com/andre-al-sanati/profil/spieler/431748,2000-01-06,,,,,,,,,,,
