,Player,Team,Age,Position,Score Type,Stoke Score,xG per 90 Percentile,Goals per 90 Percentile,Shots per 90 Percentile,Touches in box per 90 Percentile,xA per 90 Percentile,Aerial duels per 90 Percentile,xG per 90 Percentile (W),Goals per 90 Percentile (W),Shots per 90 Percentile (W),xA per 90 Percentile (W),Dribbles per 90 Percentile (W),Progressive runs per 90 Percentile (W),Passes to penalty area per 90 Percentile,xG per 90 Percentile (CAM),Goals per 90 Percentile (CAM),Shots per 90 Percentile (CAM),xA per 90 Percentile (CAM),League,Unnamed: 0
0,K. Tyukavin,Dinamo Moskva,21.0,CF,Striker,70.57,100.0,93.0,95.0,81.0,72.0,23.0,,,,,,,,,,,,Russian Premier League,
1,E. Golenkov,Rostov,24.0,"CF, RWF",Striker,67.95,77.0,91.0,65.0,91.0,90.0,98.0,,,,,,,,,,,,Russian Premier League,
2,F. Chalov,CSKA Moskva,25.0,"CF, AMF, LWF",Striker,66.79,84.0,97.0,58.0,42.0,83.0,38.0,,,,,,,,,,,,Russian Premier League,
3,M. Konaté,Akhmat Grozny,26.0,CF,Striker,65.98,95.0,70.0,98.0,95.0,55.0,74.0,,,,,,,,,,,,Russian Premier League,
4,J. Córdoba,Krasnodar,30.0,CF,Striker,61.45,91.0,87.0,74.0,55.0,38.0,58.0,,,,,,,,,,,,Russian Premier League,
5,T. Suleymanov,Lokomotiv Moskva,23.0,CF,Striker,60.29,93.0,78.0,93.0,93.0,72.0,93.0,,,,,,,,,,,,Russian Premier League,
6,M. Cassierra,Zenit,26.0,CF,Striker,59.83,71.0,100.0,52.0,86.0,49.0,35.0,,,,,,,,,,,,Russian Premier League,
7,Q. Promes,Spartak Moskva,31.0,"CF, LWF, LAMF",Striker,57.31,49.0,62.0,83.0,63.0,98.0,5.0,,,,,,,,,,,,Russian Premier League,
8,I. Sergeev,Zenit,28.0,CF,Striker,51.39,88.0,97.0,58.0,58.0,38.0,33.0,,,,,,,,,,,,Russian Premier League,
9,F. Smolov,Dinamo Moskva,33.0,"AMF, CF",Striker,50.63,63.0,62.0,86.0,77.0,66.0,14.0,,,,,,,,,,,,Russian Premier League,
10,D. Vorobjev,Orenburg,26.0,"CF, RWF, RW",Striker,49.61,66.0,81.0,88.0,55.0,49.0,16.0,,,,,,,,,,,,Russian Premier League,
